ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
COORDENADOR(A) DA AGENCIA TRANSFUSIONAL;COORDENADOR DA AGÊNCIA TRANSFUSIONAL;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DA ASSESSORIA JURIDICA DEGP;COORDENADOR DA ASSESSORIA JURÍDICA DEGP;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DA CAPTACAO DE DOADORES;COORDENADOR DA CAPTAÇÃO DE DOADORES;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DA CENTRAL DE AMOSTRA;COORDENADOR DA CENTRAL DE AMOSTRA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DA QUALIDADE ASSISTENCIAL;COORDENADOR DA QUALIDADE ASSISTENCIAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ABASTECIMENTO;COORDENADOR DE ABASTECIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ADMINISTRACAO DE BENEFICIOS;COORDENADOR DE ADMINISTRAÇÃO DE BENEFÍCIOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ALMOXARIFADO;COORDENADOR DE ALMOXARIFADO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE AMBULATORIO;COORDENADOR DE AMBULATÓRIO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ANALISE DE PROCESSO;COORDENADOR DE ANÁLISE DE PROCESSO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ASSISTENCIA A SAUDE;COORDENADOR DE ASSISTENCIA A SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ATENDIMENTO;COORDENADOR DE ATENDIMENTO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE COMPRAS;COORDENADOR DE COMPRAS;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE CONTABILIDADE;COORDENADOR DE CONTABILIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE CONTRATOS DE GESTÃO;COORDENADOR DE CONTRATOS DE GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE CONTROLE INTERNO FINANCEIRO;COORDENADOR DE CONTROLE INTERNO FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE DESENVOLVIMENTO DE PARCEIROS;COORDENADOR DE DESENVOLVIMENTO DE PARCEIROS;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE DESENVOLVIMENTO ORGANIZACIONAL;COORDENADOR DE DESENVOLVIMENTO ORGANIZACIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE DISTRIBUICAO DE HEMOCOMPONENTES;COORDENADOR DE DISTRIBUIÇÃO DE HEMOCOMPONENTES;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM;COORDENADOR DE ENFERMAGEM;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM CCIH;COORDENADOR DE ENFERMAGEM CCIH;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM CENTRO CIRURGICO;COORDENADOR DE ENFERMAGEM CENTRO CIRÚRGICO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM CLINICA CIRURGICA;COORDENADOR DE ENFERMAGEM CLÍNICA CIRÚRGICA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM CLINICA MEDICA;COORDENADOR DE ENFERMAGEM CLÍNICA MÉDICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ENFERMAGEM CLINICA ORTOPEDICA;COORDENADOR DE ENFERMAGEM CLÍNICA ORTOPÉDICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ENFERMAGEM DE IMAGEM;COORDENADOR DE ENFERMAGEM DE IMAGEM;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM DE MARCAÇÃO;COORDENADOR DE ENFERMAGEM DE MARCAÇÃO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM DE NHE;COORDENADOR DE ENFERMAGEM DE NHE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) DE ENFERMAGEM DE UTI;COORDENADOR DE ENFERMAGEM DE UTI;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM DO AMBULATORIO;COORDENADOR DE ENFERMAGEM DO AMBULATÓRIO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) DE ENFERMAGEM DO NEP;COORDENADOR DE ENFERMAGEM DO NEP;Máscara N95;PCG UNIVERSAL;1
